Source,Year,Month,Mean
GCAG,1914,3,-0.3918
GISTEMP,1914,4,-0.3
GCAG,1914,4,-0.4009
GISTEMP,1914,5,-0.22
GCAG,1914,5,-0.3085
GISTEMP,1914,6,-0.26
GCAG,1914,6,-0.3109
GISTEMP,1914,7,-0.25
GCAG,1914,7,-0.2979
GISTEMP,1914,8,-0.17
GCAG,1914,8,-0.2454
GISTEMP,1914,9,-0.18
GCAG,1914,9,-0.3025
GISTEMP,1914,10,-0.04
GCAG,1914,10,-0.11
GISTEMP,1914,11,-0.17
GCAG,1914,11,-0.1815
GISTEMP,1914,12,-0.05
GCAG,1914,12,-0.2378
GISTEMP,1915,1,-0.22
GCAG,1915,1,-0.2835
GISTEMP,1915,2,-0.05
GCAG,1915,2,-0.2134
GISTEMP,1915,3,-0.1
GCAG,1915,3,-0.1953
GISTEMP,1915,4,0.06
